c1,c2,c3,c4
1,6,7,7
2,8,9,10
3,10,11,12
4,11,13,14
5,13,14,15
6,14,15,17
7,15,17,18
8,16,18,19
9,17,19,21
10,18,20,22
11,19,21,23
12,19,22,24
13,20,23,25
14,21,23,26
15,22,24,26
16,22,25,27
17,23,26,28
18,24,26,29
19,24,27,30
20,25,28,30
21,25,28,31
22,26,29,32
23,27,30,33
24,27,30,33
25,28,31,34
26,28,32,35
27,29,32,35
28,29,33,36
29,30,33,37
30,30,34,37
31,31,34,38
32,31,35,38
33,32,36,39
34,32,36,39
35,33,37,40
36,33,37,41
37,34,38,41
38,34,38,42
39,34,39,42
40,35,39,43
41,35,40,43
42,36,40,44
43,36,41,44
44,37,41,45
45,37,41,45
46,37,42,46
47,38,42,46
48,38,43,47
49,39,43,47
50,39,44,48
