c1,c2,c3,c4
51,49,55,60
52,50,56,61
53,50,56,62
54,51,57,62
55,51,57,63
56,52,58,63
57,52,58,64
58,52,59,64
59,53,59,65
60,53,60,65
61,54,60,66
62,54,61,66
63,55,61,67
64,55,62,68
65,56,62,68
66,56,63,69
67,56,63,69
68,57,64,70
69,57,64,70
70,58,65,71
71,58,65,71
72,58,65,72
73,59,66,72
74,59,66,73
75,60,67,73
76,60,67,74
77,60,68,74
78,61,68,75
79,61,69,75
80,62,69,75
81,62,69,76
82,62,70,76
83,63,70,77
84,63,71,77
85,63,71,78
86,64,71,78
87,64,72,79
88,65,72,79
89,65,73,80
90,65,73,80
91,66,74,80
92,66,74,81
93,66,74,81
94,67,75,82
95,67,75,82
96,67,75,83
97,68,76,83
98,68,76,83
99,68,77,84
100,69,77,84
